Train Number,Boarding Station,Destination,Date of Journey,Booking Date,Class,Total Seats in Class,Type of Waiting List,Booking Status,Maximum Waiting,festival,Holidays,status before three weeks,status before two weeks,status before one week,status before three days,status before one day,confirm
19417,ADI,JBP,17-07-2017,28-05-2017,3A,216,GNWL,38,54,0,0,35,31,26,25,24,0
19417,ADI,ALD,11-07-2017,08-05-2017,3A,216,GNWL,9,55,0,0,7,3,0,0,0,1
19415,ADI,JUC,08-11-2017,28-08-2017,SL,880,GNWL,2,40,1,1,0,0,0,0,0,1
19415,ADI,ASR,29-09-2017,06-06-2017,3A,216,RLWL,46,54,1,0,45,41,39,36,35,0
19415,ADI,ABR,17-11-2017,11-10-2017,3A,216,GNWL,36,50,1,0,32,27,24,19,13,0
19415,ADI,RE,12-07-2017,28-06-2017,SL,880,RLWL,44,51,1,1,40,31,24,17,14,0
19415,ADI,AII,02-08-2017,12-05-2017,2A,182,GNWL,2,12,0,0,1,0,0,0,0,1
19415,ADI,JP,10-12-2017,22-10-2017,3A,216,GNWL,22,29,1,1,20,18,17,14,11,0
19415,ADI,AII,23-12-2017,28-11-2017,SL,880,GNWL,53,100,0,0,50,42,35,26,23,0
19413,ADI,ASN,02-08-2017,23-05-2017,3A,216,RLWL,25,32,0,1,22,21,18,12,11,0
19411,ADI,ABR,23-09-2017,19-06-2017,SL,880,GNWL,53,56,0,0,51,46,37,31,29,0
19411,ADI,ABR,30-09-2017,05-08-2017,SL,880,GNWL,54,87,0,0,53,51,45,35,31,0
19409,ADI,GKP,18-08-2017,14-08-2017,3A,216,GNWL,16,17,1,0,13,10,5,0,0,1
19409,ADI,GKP,03-10-2017,24-08-2017,3A,216,RLWL,1,6,1,1,0,0,0,0,0,1
19409,ADI,GKP,15-11-2017,04-08-2017,3A,216,RLWL,43,54,1,0,39,35,34,33,30,0
19409,ADI,GKP,18-11-2017,21-11-2017,SL,880,RLWL,91,103,1,1,84,82,79,68,64,0
19409,ADI,GKP,05-12-2017,27-10-2017,SL,880,GNWL,62,66,1,1,56,48,47,44,35,0
19409,ADI,LKO,22-07-2017,01-04-2017,SL,880,GNWL,49,86,0,0,41,40,37,34,32,0
19409,ADI,GKP,30-09-2017,21-08-2017,SL,880,GNWL,15,68,0,1,10,8,6,0,0,1
19409,ADI,GD,23-09-2017,01-06-2017,3A,216,GNWL,14,33,0,1,13,10,5,2,0,1
19409,ADI,GKP,23-12-2017,05-10-2017,SL,880,GNWL,15,108,0,0,14,6,4,3,0,1
19407,ADI,BSB,19-09-2017,22-07-2017,3A,216,RLWL,23,26,1,1,20,17,14,8,5,1
19407,ADI,JP,20-10-2017,22-08-2017,2A,182,RLWL,1,26,0,1,0,0,0,0,0,1
19407,ADI,NHH,30-09-2017,30-06-2017,SL,880,RLWL,10,79,1,0,4,2,0,0,0,1
19407,ADI,LKO,25-11-2017,06-10-2017,SL,880,GNWL,43,96,1,0,35,33,31,23,18,0
19407,ADI,AII,16-11-2017,21-10-2017,SL,880,GNWL,20,105,0,1,19,12,8,7,5,1
19407,ADI,LKO,11-12-2017,21-10-2017,SL,880,RLWL,85,94,0,0,83,81,75,63,61,0
19407,ADI,JP,13-10-2017,19-10-2017,SL,880,RLWL,65,100,0,0,57,53,46,45,36,0
19407,ADI,BSB,09-10-2017,19-08-2017,SL,880,RLWL,59,93,1,0,57,52,42,37,33,0
19407,ADI,BSB,09-07-2017,30-04-2017,3A,216,RLWL,30,31,0,0,29,24,20,15,12,0
19407,ADI,AII,10-11-2017,17-11-2017,SL,880,RLWL,75,109,0,0,74,72,69,68,60,0
19407,ADI,AII,27-10-2017,19-10-2017,SL,880,RLWL,71,72,0,0,63,57,53,48,40,0
19403,ADI,SLN,17-07-2017,03-05-2017,1A,10,GNWL,5,9,0,1,4,2,0,0,0,1
19403,ADI,LKO,18-10-2017,22-10-2017,1A,10,GNWL,10,18,1,1,9,8,7,5,3,0
19403,ADI,LKO,09-07-2017,04-04-2017,2A,182,RLWL,8,24,1,0,7,4,3,1,0,1
19401,ADI,CNB,13-11-2017,01-10-2017,3A,216,GNWL,44,50,1,0,40,36,35,33,30,0
19401,ADI,FBD,03-12-2017,12-10-2017,SL,880,GNWL,65,84,1,0,63,57,54,46,45,0
19401,ADI,LKO,15-12-2017,01-10-2017,SL,880,GNWL,6,56,1,1,0,0,0,0,0,1
19401,ADI,LKO,18-11-2017,08-09-2017,1A,10,RLWL,19,20,1,0,18,16,15,13,11,0
19401,ADI,CNB,14-08-2017,08-05-2017,3A,216,RLWL,45,54,1,0,41,39,35,32,29,0
19401,ADI,LKO,08-08-2017,10-06-2017,2A,182,GNWL,11,27,1,0,9,6,4,0,0,1
19309,ADI,NAD,12-09-2017,26-07-2017,3A,216,GNWL,23,43,0,0,21,16,13,9,7,0
19309,ADI,INDB,12-09-2017,28-06-2017,SL,880,RLWL,92,97,0,1,87,83,82,76,75,0
19309,ADI,DWX,30-09-2017,01-09-2017,SL,880,RLWL,6,52,1,1,0,0,0,0,0,1
19309,ADI,INDB,09-10-2017,01-09-2017,SL,880,RLWL,11,35,1,0,7,3,0,0,0,1
19309,ADI,INDB,13-07-2017,04-07-2017,2A,182,RLWL,14,14,1,1,13,12,11,9,6,0
19309,ADI,INDB,02-10-2017,15-08-2017,SL,880,GNWL,80,97,1,0,72,71,66,54,47,0
19309,ADI,DWX,06-09-2017,12-09-2017,SL,880,RLWL,57,60,1,1,50,44,36,26,16,0
19309,ADI,INDB,24-09-2017,25-09-2017,3A,216,RLWL,17,45,0,1,13,8,5,0,0,1
19309,ADI,INDB,19-07-2017,25-07-2017,SL,880,GNWL,22,71,0,0,21,20,15,7,3,0
19309,ADI,INDB,07-12-2017,18-09-2017,SL,880,GNWL,27,51,1,1,19,12,8,1,0,1
19309,ADI,INDB,09-08-2017,30-08-2017,1A,10,GNWL,13,14,1,0,12,11,10,8,7,0
19309,ADI,DWX,05-10-2017,28-10-2017,SL,880,GNWL,53,84,0,0,47,44,41,37,35,0
19309,ADI,INDB,11-12-2017,05-10-2017,SL,880,RLWL,99,102,0,0,97,89,86,85,80,0
19309,ADI,INDB,05-11-2017,25-08-2017,2A,182,RLWL,24,29,0,0,22,19,17,14,13,0
19309,ADI,UJN,02-09-2017,06-07-2017,3A,216,GNWL,38,40,0,1,34,29,25,23,22,0
19309,ADI,INDB,06-08-2017,22-07-2017,SL,880,GNWL,40,49,0,1,35,31,27,26,14,0
19309,ADI,INDB,22-10-2017,08-09-2017,SL,880,RLWL,77,106,1,1,69,61,51,39,26,0
19309,ADI,INDB,14-10-2017,23-10-2017,SL,880,GNWL,18,76,1,0,15,10,8,1,0,1
19309,ADI,DWX,28-10-2017,06-09-2017,SL,880,GNWL,7,61,0,0,4,0,0,0,0,1
19309,ADI,INDB,28-10-2017,29-07-2017,3A,216,GNWL,47,48,1,0,45,43,42,38,37,0
19309,ADI,INDB,10-12-2017,01-12-2017,2A,182,GNWL,18,27,1,0,17,14,12,9,6,0
19309,ADI,INDB,08-07-2017,29-07-2017,2A,182,RLWL,18,29,0,1,16,15,12,9,7,0
19309,ADI,INDB,16-09-2017,30-06-2017,3A,216,RLWL,35,47,0,0,33,29,26,24,21,0
19309,ADI,INDB,19-07-2017,30-04-2017,SL,880,GNWL,45,90,1,0,39,36,31,20,7,0
19309,ADI,INDB,03-09-2017,28-09-2017,2A,182,RLWL,30,33,0,0,29,28,26,23,20,0
19309,ADI,INDB,15-08-2017,26-06-2017,2A,182,RLWL,14,22,1,1,13,11,9,5,2,0
19309,ADI,RTM,08-11-2017,11-10-2017,3A,216,GNWL,27,52,1,0,24,20,15,10,6,0
19309,ADI,DWX,10-11-2017,13-08-2017,SL,880,GNWL,36,46,0,0,32,29,22,12,0,1
19309,ADI,INDB,06-08-2017,05-06-2017,SL,880,GNWL,74,96,1,1,70,61,57,50,48,0
19269,ADI,SGL,22-12-2017,06-09-2017,1A,10,GNWL,17,18,0,0,16,14,13,12,10,0
19269,ADI,GKP,19-07-2017,28-07-2017,2A,182,GNWL,18,27,0,0,16,14,13,12,8,0
19269,ADI,MFP,08-08-2017,27-08-2017,SL,880,GNWL,71,91,0,1,67,59,54,53,44,0
19269,ADI,LKO,06-10-2017,16-09-2017,3A,216,RLWL,25,47,1,1,24,22,17,12,10,0
19269,ADI,MB,08-08-2017,10-05-2017,1A,10,RLWL,6,19,1,0,5,3,2,1,0,1
19269,ADI,GD,11-11-2017,19-09-2017,3A,216,GNWL,2,14,1,1,0,0,0,0,0,1
19269,ADI,MFP,03-07-2017,04-06-2017,3A,216,RLWL,14,20,1,1,12,10,9,3,0,1
19263,ADI,DEE,13-11-2017,05-11-2017,2A,182,RLWL,30,31,0,1,29,26,25,22,19,0
19262,ADI,SRR,17-10-2017,04-08-2017,3A,216,RLWL,37,44,1,0,35,31,29,27,21,0
19262,ADI,TCR,16-08-2017,21-06-2017,2A,182,RLWL,30,33,1,1,28,26,22,19,14,0
19260,ADI,MAO,26-08-2017,25-06-2017,SL,880,GNWL,38,94,1,0,30,21,16,5,0,1
19260,ADI,CLT,30-08-2017,17-06-2017,3A,216,RLWL,21,52,0,0,20,17,16,13,9,0
19223,ADI,JUC,03-09-2017,27-06-2017,SL,880,GNWL,66,80,1,1,63,62,61,50,44,0
19223,ADI,PMY,11-12-2017,18-12-2017,SL,880,GNWL,65,92,1,1,57,49,42,41,33,0
19223,ADI,JAT,29-10-2017,29-09-2017,SL,880,RLWL,52,101,1,0,47,41,31,21,13,0
19223,ADI,BKN,13-12-2017,29-11-2017,SL,880,RLWL,44,94,0,1,36,34,30,28,24,0
19223,ADI,JU,26-12-2017,23-11-2017,SL,880,GNWL,79,109,0,0,75,69,68,59,55,0
19223,ADI,JAT,27-10-2017,06-09-2017,SL,880,RLWL,80,97,0,1,72,63,54,52,49,0
19223,ADI,JAT,05-10-2017,10-09-2017,2A,182,RLWL,6,29,1,1,5,3,1,0,0,1
19223,ADI,FA,07-07-2017,11-05-2017,SL,880,RLWL,81,82,1,0,73,68,65,54,52,0
19223,ADI,JAT,18-09-2017,25-06-2017,SL,880,RLWL,15,43,1,1,14,6,5,0,0,1
19223,ADI,PTKC,23-11-2017,26-11-2017,SL,880,GNWL,65,83,0,1,62,55,51,41,36,0
19223,ADI,JUC,03-09-2017,07-09-2017,2A,182,GNWL,23,32,1,1,21,18,17,16,13,0
19223,ADI,JUC,09-10-2017,14-09-2017,3A,216,RLWL,36,55,1,1,35,31,30,24,19,0
19223,ADI,PMY,07-08-2017,22-06-2017,SL,880,RLWL,50,69,0,0,44,41,33,30,22,0
19223,ADI,SOG,29-12-2017,05-11-2017,SL,880,RLWL,15,49,0,1,11,3,0,0,0,1
19223,ADI,JAT,03-10-2017,04-08-2017,SL,880,GNWL,88,98,0,0,82,77,70,69,66,0
19223,ADI,BKN,02-07-2017,08-07-2017,SL,880,RLWL,42,96,0,0,39,33,25,13,11,0
19223,ADI,JAT,06-11-2017,10-08-2017,1A,10,RLWL,4,8,1,1,3,2,1,0,0,1
19223,ADI,SOG,01-10-2017,07-09-2017,SL,880,GNWL,50,110,0,1,49,43,39,27,14,0
19221,ADI,VRL,14-09-2017,02-07-2017,2A,182,RLWL,10,13,1,1,8,7,6,2,0,1
19221,ADI,VRL,23-11-2017,27-11-2017,2A,182,GNWL,22,23,0,1,21,19,16,13,10,0
19221,ADI,VRL,17-10-2017,27-07-2017,SL,880,GNWL,84,84,0,0,78,69,68,64,54,0
19221,ADI,JND,27-11-2017,21-09-2017,3A,216,RLWL,23,34,0,0,20,19,17,15,9,0
19221,ADI,JND,22-12-2017,30-10-2017,3A,216,RLWL,2,37,1,1,0,0,0,0,0,1
19221,ADI,VRL,28-09-2017,09-06-2017,1A,10,GNWL,2,13,0,0,1,0,0,0,0,1
19221,ADI,CVR,16-12-2017,17-10-2017,1A,10,RLWL,16,18,1,0,15,13,12,10,9,0
19221,ADI,VRL,09-08-2017,10-07-2017,2A,182,GNWL,17,25,1,0,15,12,8,5,1,1
19221,ADI,VRL,26-07-2017,13-05-2017,2A,182,GNWL,29,29,0,0,27,24,21,18,15,0
19221,ADI,JND,23-09-2017,02-09-2017,SL,880,RLWL,76,88,1,0,72,71,63,58,46,0
19221,ADI,VRL,11-10-2017,02-10-2017,SL,880,RLWL,22,39,0,1,18,10,5,0,0,1
19221,ADI,VRL,18-12-2017,03-10-2017,SL,880,RLWL,57,87,0,1,52,47,45,38,29,0
19221,ADI,JND,03-11-2017,12-09-2017,SL,880,RLWL,25,56,0,0,20,19,13,6,2,1
19221,ADI,JND,26-09-2017,29-06-2017,SL,880,RLWL,20,62,0,1,13,6,4,0,0,1
19221,ADI,KSD,17-10-2017,08-07-2017,SL,880,GNWL,12,72,1,1,9,4,1,0,0,1
19221,ADI,VRL,27-07-2017,19-05-2017,3A,216,RLWL,32,51,0,0,28,24,22,21,19,0
19221,ADI,VRL,26-12-2017,06-12-2017,3A,216,RLWL,4,7,1,0,1,0,0,0,0,1
19221,ADI,VRL,06-09-2017,19-09-2017,2A,182,GNWL,21,31,0,1,19,18,14,11,8,0
19221,ADI,VRL,16-08-2017,22-07-2017,2A,182,RLWL,5,31,1,0,4,3,0,0,0,1
19216,ADI,DDR,29-10-2017,18-09-2017,3A,216,RLWL,31,36,0,0,29,27,23,18,13,0
19216,ADI,BCT,25-10-2017,12-08-2017,SL,880,GNWL,65,83,0,1,64,59,49,40,27,0
19215,ADI,PBR,17-08-2017,16-06-2017,SL,880,GNWL,92,104,1,1,85,83,76,69,68,0
19215,ADI,PBR,26-08-2017,01-06-2017,SL,880,GNWL,12,40,1,0,10,3,1,0,0,1
19215,ADI,WKR,17-10-2017,17-09-2017,SL,880,GNWL,71,72,0,0,69,65,55,49,45,0
19215,ADI,PBR,21-07-2017,16-05-2017,SL,880,RLWL,69,99,0,1,61,59,54,42,37,0
19215,ADI,PBR,09-08-2017,17-07-2017,SL,880,GNWL,22,105,0,0,14,9,4,0,0,1
19204,ADI,BVI,24-09-2017,16-09-2017,SL,880,GNWL,94,109,1,1,89,84,82,76,69,0
19204,ADI,BVI,05-08-2017,02-05-2017,2A,182,RLWL,3,13,0,1,1,0,0,0,0,1
19204,ADI,BDTS,25-08-2017,01-06-2017,SL,880,GNWL,77,105,1,1,76,70,61,49,45,0
19204,ADI,BVI,12-11-2017,14-09-2017,3A,216,RLWL,6,53,0,0,5,1,0,0,0,1
19204,ADI,BVI,23-11-2017,13-09-2017,3A,216,RLWL,40,40,1,0,38,36,31,29,27,0
19204,ADI,BVI,08-07-2017,16-06-2017,1A,10,RLWL,1,9,1,1,0,0,0,0,0,1
19167,ADI,JNU,23-07-2017,28-04-2017,3A,216,RLWL,42,42,0,0,41,37,35,33,31,0
19167,ADI,UJN,06-10-2017,22-07-2017,3A,216,GNWL,20,53,0,1,18,13,11,7,1,1
19167,ADI,LKO,05-11-2017,08-09-2017,SL,880,GNWL,36,97,0,0,34,26,17,12,4,1
19167,ADI,LKO,21-09-2017,30-06-2017,3A,216,RLWL,18,49,0,1,16,15,12,6,1,1
19167,ADI,UJN,27-10-2017,07-09-2017,SL,880,RLWL,52,89,1,0,46,45,42,37,29,0
19167,ADI,BSB,16-12-2017,23-12-2017,3A,216,RLWL,29,32,1,1,26,24,21,19,17,0
19167,ADI,BSB,16-11-2017,30-08-2017,SL,880,RLWL,63,101,1,0,61,55,49,43,34,0
19167,ADI,BSB,28-11-2017,03-11-2017,1A,10,GNWL,8,18,0,1,7,6,4,2,1,0
19167,ADI,JNU,25-11-2017,14-10-2017,2A,182,GNWL,23,26,1,1,22,19,15,12,7,0
19167,ADI,FD,07-09-2017,30-06-2017,SL,880,RLWL,67,81,0,0,62,56,46,43,35,0
19165,ADI,RTM,28-07-2017,12-05-2017,1A,10,RLWL,11,16,0,1,10,9,7,6,5,0
19165,ADI,RSR,29-11-2017,20-09-2017,2A,182,GNWL,11,12,1,0,10,7,3,2,1,1
19165,ADI,DBG,29-10-2017,27-08-2017,SL,880,GNWL,18,73,0,1,12,9,5,0,0,1
19165,ADI,DBG,01-07-2017,08-04-2017,2A,182,GNWL,23,32,1,1,21,19,15,12,9,0
19165,ADI,DBG,20-12-2017,06-09-2017,SL,880,RLWL,38,109,1,0,37,34,26,24,18,0
19165,ADI,BUI,28-12-2017,01-09-2017,SL,880,GNWL,93,97,1,0,87,82,77,71,62,0
19165,ADI,SEE,29-12-2017,20-10-2017,3A,216,GNWL,1,43,0,1,0,0,0,0,0,1
19165,ADI,UJN,28-10-2017,14-09-2017,1A,10,GNWL,6,18,1,0,5,3,1,0,0,1
19165,ADI,CNB,28-12-2017,17-12-2017,3A,216,GNWL,25,52,0,0,24,19,18,16,13,0
19165,ADI,FD,23-09-2017,30-09-2017,SL,880,RLWL,10,77,1,0,5,0,0,0,0,1
19165,ADI,ASKN,16-09-2017,04-07-2017,SL,880,GNWL,12,32,1,1,9,4,0,0,0,1
19165,ADI,MFP,13-12-2017,30-10-2017,SL,880,GNWL,61,70,0,0,56,48,45,33,32,0
19165,ADI,DBG,21-12-2017,14-11-2017,3A,216,GNWL,46,53,0,1,42,41,38,36,33,0
19165,ADI,RTM,04-08-2017,25-06-2017,SL,880,RLWL,88,88,1,0,82,80,70,62,60,0
19165,ADI,JHS,07-08-2017,02-07-2017,SL,880,GNWL,73,96,1,1,67,65,62,59,55,0
19165,ADI,SEE,03-10-2017,02-07-2017,SL,880,RLWL,26,29,1,0,21,13,8,6,5,0
19165,ADI,DBG,17-08-2017,26-07-2017,3A,216,GNWL,42,50,0,1,39,38,34,30,28,0
19165,ADI,SPJ,25-07-2017,29-04-2017,SL,880,RLWL,19,49,0,1,13,8,1,0,0,1
19165,ADI,LKO,02-12-2017,07-10-2017,2A,182,RLWL,1,21,1,1,0,0,0,0,0,1
19165,ADI,DBG,23-12-2017,21-10-2017,SL,880,GNWL,45,58,0,1,37,36,30,23,17,0
19165,ADI,RTM,03-09-2017,17-06-2017,SL,880,GNWL,25,64,0,1,22,20,10,0,0,1
19165,ADI,SEE,01-08-2017,29-07-2017,SL,880,RLWL,62,90,1,0,54,50,40,37,35,0
19165,ADI,SPJ,20-08-2017,01-05-2017,SL,880,GNWL,76,92,1,1,69,65,62,61,54,0
19131,ADI,GIMB,03-09-2017,22-09-2017,3A,216,GNWL,30,33,0,0,29,24,19,13,12,0
19116,ADI,BVI,18-12-2017,26-10-2017,SL,880,GNWL,80,107,1,1,77,68,66,65,53,0
19116,ADI,NVS,21-12-2017,28-09-2017,SL,880,RLWL,83,95,0,1,81,78,70,63,62,0
19115,ADI,GIMB,29-08-2017,14-05-2017,SL,880,RLWL,68,87,0,0,62,57,55,51,43,0
19115,ADI,BHUJ,08-09-2017,22-08-2017,3A,216,GNWL,24,41,1,1,20,19,16,13,11,0
19115,ADI,BHUJ,23-11-2017,13-08-2017,2A,182,GNWL,9,31,0,0,7,5,2,0,0,1
19115,ADI,GIMB,04-08-2017,12-07-2017,2A,182,GNWL,27,33,1,0,26,25,21,19,18,0
19115,ADI,BHUJ,16-09-2017,03-08-2017,3A,216,RLWL,37,43,0,0,35,34,32,27,23,0
19115,ADI,BHUJ,07-10-2017,17-10-2017,3A,216,RLWL,42,54,0,1,40,39,38,34,28,0
19115,ADI,BHUJ,18-10-2017,20-07-2017,SL,880,GNWL,56,57,0,1,54,47,37,27,20,0
19107,ADI,JUC,01-08-2017,13-07-2017,SL,880,RLWL,74,103,1,0,72,70,67,56,54,0
19107,ADI,JAT,10-11-2017,07-11-2017,3A,216,GNWL,13,20,0,0,10,8,5,1,0,1
19107,ADI,JUC,04-08-2017,05-05-2017,SL,880,RLWL,84,102,0,1,76,69,68,56,49,0
19107,ADI,JAT,15-09-2017,02-08-2017,3A,216,RLWL,38,47,1,0,37,32,31,30,26,0
19107,ADI,JAT,09-07-2017,29-04-2017,2A,182,GNWL,6,9,1,1,4,3,2,0,0,1
19060,ADI,ST,18-11-2017,28-09-2017,3A,216,GNWL,32,44,1,0,28,24,19,13,12,0
19060,ADI,ST,22-09-2017,17-09-2017,SL,880,RLWL,58,110,1,0,51,48,40,38,31,0
19060,ADI,ST,26-12-2017,01-09-2017,SL,880,RLWL,60,88,0,1,56,48,39,30,29,0
19059,ADI,RJT,16-08-2017,10-05-2017,SL,880,GNWL,56,106,0,0,54,47,44,33,20,0
19034,ADI,ST,28-07-2017,20-06-2017,SL,880,GNWL,35,84,1,1,29,22,12,3,0,1
19034,ADI,ST,07-10-2017,05-08-2017,SL,880,RLWL,76,107,0,1,74,66,56,46,36,0
19034,ADI,ST,25-08-2017,03-05-2017,SL,880,GNWL,4,26,1,0,1,0,0,0,0,1
19034,ADI,BH,26-10-2017,19-07-2017,3A,216,GNWL,37,45,0,1,36,33,29,27,25,0
19031,ADI,HW,17-10-2017,17-08-2017,2A,182,RLWL,4,10,0,1,3,1,0,0,0,1
19031,ADI,TPZ,08-07-2017,11-05-2017,1A,10,RLWL,1,19,0,1,0,0,0,0,0,1
19031,ADI,HW,26-11-2017,10-09-2017,3A,216,RLWL,50,53,0,0,47,44,39,38,33,0
19031,ADI,DSA,02-10-2017,28-10-2017,SL,880,RLWL,80,110,0,1,76,68,65,61,52,0
19031,ADI,JP,15-12-2017,13-09-2017,1A,10,GNWL,11,21,0,1,10,8,7,6,4,0
19031,ADI,GGN,10-10-2017,09-10-2017,SL,880,GNWL,88,95,0,1,85,82,74,66,57,0
19031,ADI,DSA,02-10-2017,13-09-2017,2A,182,GNWL,11,31,0,1,9,6,3,0,0,1
19031,ADI,HW,03-10-2017,05-09-2017,SL,880,RLWL,72,89,0,1,67,65,56,54,44,0
19031,ADI,RK,07-09-2017,08-08-2017,3A,216,RLWL,31,48,1,0,29,25,20,18,13,0
19031,ADI,HW,11-08-2017,17-06-2017,SL,880,RLWL,17,47,1,1,9,3,0,0,0,1
19031,ADI,HW,10-10-2017,24-09-2017,SL,880,RLWL,57,81,0,0,56,49,40,29,24,0
19031,ADI,RK,14-10-2017,22-07-2017,3A,216,GNWL,18,21,1,0,15,12,7,4,0,1
19031,ADI,MTC,07-11-2017,22-10-2017,2A,182,GNWL,28,29,1,1,27,25,23,22,19,0
19031,ADI,FA,07-12-2017,14-12-2017,2A,182,RLWL,4,21,0,1,2,1,0,0,0,1
19031,ADI,DLI,01-07-2017,05-07-2017,2A,182,RLWL,13,33,0,1,12,10,6,2,0,1
19031,ADI,HW,12-10-2017,17-08-2017,SL,880,GNWL,62,74,1,1,58,51,48,38,25,0
19031,ADI,HW,15-10-2017,02-09-2017,SL,880,GNWL,97,98,1,0,92,86,84,82,74,0
19027,ADI,HSR,01-09-2017,17-07-2017,SL,880,RLWL,79,104,0,0,75,70,61,59,52,0
19027,ADI,HSR,02-10-2017,13-07-2017,1A,10,RLWL,17,18,1,1,16,15,13,11,10,0
19027,ADI,RTGH,07-10-2017,18-09-2017,1A,10,RLWL,18,18,1,1,17,15,13,11,10,0
19018,ADI,BDTS,02-10-2017,20-08-2017,SL,880,GNWL,5,61,0,0,1,0,0,0,0,1
19018,ADI,BDTS,01-07-2017,30-04-2017,SL,880,GNWL,7,84,0,1,1,0,0,0,0,1
19018,ADI,BDTS,07-07-2017,17-07-2017,SL,880,RLWL,15,101,1,1,12,3,0,0,0,1
19018,ADI,BDTS,30-07-2017,15-07-2017,1A,10,GNWL,12,16,0,0,11,9,7,5,4,0
19018,ADI,BDTS,06-12-2017,24-10-2017,2A,182,GNWL,25,31,1,0,23,20,19,18,17,0
19018,ADI,BDTS,15-11-2017,18-10-2017,2A,182,RLWL,20,20,1,1,18,15,11,10,8,0
19018,ADI,BDTS,20-10-2017,21-08-2017,1A,10,GNWL,19,20,0,0,18,17,15,14,13,0
19018,ADI,BDTS,17-07-2017,05-05-2017,1A,10,RLWL,7,16,0,0,6,5,3,1,0,1
19018,ADI,BDTS,19-10-2017,07-10-2017,2A,182,RLWL,12,26,1,0,11,8,7,5,3,0
19018,ADI,BDTS,29-10-2017,15-08-2017,SL,880,RLWL,48,48,1,0,47,39,31,28,20,0
19012,ADI,BCT,03-11-2017,14-08-2017,2A,182,GNWL,10,26,1,0,9,7,5,2,0,1
19012,ADI,ST,08-10-2017,11-09-2017,SL,880,RLWL,29,106,0,0,28,21,11,6,0,1
19012,ADI,BVI,28-10-2017,23-09-2017,SL,880,RLWL,9,13,0,0,1,0,0,0,0,1
19012,ADI,BCT,26-11-2017,04-11-2017,SL,880,GNWL,66,107,0,1,64,56,49,39,36,0
19012,ADI,BVI,23-07-2017,06-07-2017,1A,10,RLWL,7,17,1,1,6,4,3,1,0,1
19012,ADI,BVI,21-12-2017,02-12-2017,2A,182,GNWL,11,22,1,1,10,9,7,6,3,0
19012,ADI,BCT,14-12-2017,02-11-2017,SL,880,GNWL,17,50,0,1,16,12,10,2,0,1
19006,ADI,BCT,26-09-2017,21-08-2017,3A,216,RLWL,13,46,1,1,10,9,6,0,0,1
19006,ADI,BVI,22-08-2017,08-08-2017,1A,10,GNWL,10,16,0,0,9,7,5,4,2,1
19006,ADI,BCT,05-09-2017,07-08-2017,3A,216,GNWL,45,52,1,1,43,38,37,33,30,0
19006,ADI,BCT,07-07-2017,24-06-2017,3A,216,GNWL,44,48,1,0,40,39,35,34,29,0
19006,ADI,BCT,22-08-2017,26-05-2017,SL,880,RLWL,22,87,1,0,20,12,8,7,5,1
19006,ADI,BCT,27-09-2017,20-06-2017,SL,880,RLWL,20,29,0,1,18,17,10,0,0,1
19006,ADI,BVI,20-07-2017,03-05-2017,3A,216,RLWL,3,49,0,1,0,0,0,0,0,1
19005,ADI,RJT,13-07-2017,03-04-2017,SL,880,RLWL,49,104,0,0,41,36,33,28,22,0
19005,ADI,OKHA,29-10-2017,01-07-2017,SL,880,RLWL,40,94,0,1,33,28,26,20,11,0
19005,ADI,KSD,02-12-2017,25-12-2017,SL,880,RLWL,97,105,0,0,96,92,88,86,79,0
18502,ADI,RJY,08-11-2017,17-08-2017,1A,10,RLWL,20,20,0,1,19,18,17,15,14,0
18502,ADI,NDB,18-08-2017,15-08-2017,3A,216,RLWL,10,50,0,0,9,6,2,0,0,1
18502,ADI,VSKP,26-07-2017,08-04-2017,3A,216,RLWL,40,52,0,1,39,35,32,31,28,0
18406,ADI,BD,02-12-2017,28-10-2017,1A,10,GNWL,16,22,1,1,15,13,12,11,9,0
18406,ADI,BBS,23-09-2017,05-07-2017,SL,880,GNWL,10,69,0,1,3,0,0,0,0,1
18406,ADI,KUR,20-10-2017,18-08-2017,SL,880,GNWL,6,96,1,1,0,0,0,0,0,1
18406,ADI,JL,08-11-2017,09-11-2017,SL,880,GNWL,41,98,0,1,37,35,33,26,22,0
18406,ADI,NGP,02-11-2017,06-08-2017,3A,216,GNWL,35,41,0,1,31,29,28,27,22,0
18406,ADI,DURG,01-12-2017,15-10-2017,SL,880,RLWL,18,32,0,0,10,3,0,0,0,1
18402,ADI,BD,26-10-2017,14-07-2017,SL,880,RLWL,22,102,0,1,20,13,6,0,0,1
18402,ADI,SKZR,23-08-2017,25-07-2017,SL,880,RLWL,81,90,1,1,74,69,65,54,45,0
18402,ADI,KUR,11-12-2017,19-12-2017,SL,880,RLWL,34,72,0,1,30,22,20,9,0,1
17203,ADI,SC,28-07-2017,29-07-2017,3A,216,RLWL,27,33,0,1,26,23,20,14,10,0
17203,ADI,SC,28-07-2017,26-07-2017,SL,880,GNWL,67,87,0,0,59,58,54,45,39,0
17203,ADI,BZA,15-10-2017,17-08-2017,1A,10,RLWL,7,16,1,0,6,4,2,1,0,1
17203,ADI,SC,08-07-2017,02-05-2017,3A,216,RLWL,34,48,0,1,31,26,22,19,18,0
17203,ADI,WADI,27-11-2017,13-08-2017,SL,880,RLWL,13,96,0,1,5,0,0,0,0,1
